<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zagros.Kosar.Power,20200113,7049.00,7250.00,6810.00,7080.00,54504504780,7698763,1687,D,6929.00,7180.00
Zagros.Kosar.Power,20200112,6930.00,6930.00,6820.00,6929.00,83378042563,12032403,1177,D,6600.00,6930.00
Zagros.Kosar.Power,20200111,6600.00,6600.00,6600.00,6600.00,14165276400,2146254,172,D,6471.00,6600.00
Zagros.Kosar.Power,20200108,6471.00,6471.00,6471.00,6471.00,24985598715,3861165,227,D,6603.00,6471.00
Zagros.Kosar.Power,20200107,6642.00,6847.00,6310.00,6603.00,65285684382,9887494,1081,D,6991.00,6310.00
Zagros.Kosar.Power,20200105,6991.00,6991.00,6991.00,6991.00,20210449684,2890924,326,D,7358.00,6991.00
Zagros.Kosar.Power,20200104,7358.00,7358.00,7358.00,7358.00,12648637456,1719032,158,D,7745.00,7358.00
Zagros.Kosar.Power,20200101,7800.00,7949.00,7562.00,7745.00,49544895512,6397069,1297,D,7737.00,7625.00
Zagros.Kosar.Power,20191231,8021.00,8021.00,7550.00,7737.00,64814139144,8376903,1572,D,7919.00,7802.00
Zagros.Kosar.Power,20191230,7899.00,8100.00,7752.00,7919.00,73114884999,9232739,1949,D,7887.00,7989.00
Zagros.Kosar.Power,20191229,8130.00,8130.00,7700.00,7887.00,58118162026,7368615,1722,D,7904.00,7794.00
Zagros.Kosar.Power,20191228,7777.00,7907.00,7705.00,7904.00,130080212906,16457872,2028,D,7531.00,7907.00
Zagros.Kosar.Power,20191225,7539.00,7690.00,7450.00,7531.00,47746992031,6339715,1366,D,7597.00,7640.00
Zagros.Kosar.Power,20191224,7696.00,7796.00,7451.00,7597.00,49246708327,6482024,1430,D,7665.00,7500.00
Zagros.Kosar.Power,20191223,7631.00,7836.00,7311.00,7665.00,71154369494,9283445,2124,D,7463.00,7550.00
Zagros.Kosar.Power,20191222,7533.00,7750.00,7200.00,7463.00,55506462477,7437487,1776,D,7551.00,7590.00
Zagros.Kosar.Power,20191221,7800.00,7800.00,7350.00,7551.00,49930239247,6612087,2104,D,7684.00,7536.00
Zagros.Kosar.Power,20191218,7800.00,7869.00,7480.00,7684.00,77386267516,10071547,2241,D,7684.00,7700.00
Zagros.Kosar.Power,20191217,7598.00,7745.00,7475.00,7684.00,125631822899,16349661,2745,D,7377.00,7745.00
Zagros.Kosar.Power,20191216,7250.00,7401.00,7060.00,7377.00,139382331910,18894277,1804,D,7049.00,7401.00
Zagros.Kosar.Power,20191215,7155.00,7160.00,6802.00,7049.00,56724805787,8047328,1758,D,6822.00,7150.00
Zagros.Kosar.Power,20191214,6800.00,6936.00,6610.00,6822.00,53393798889,7826838,1646,D,6606.00,6936.00
Zagros.Kosar.Power,20191211,6570.00,6758.00,6433.00,6606.00,34912911903,5284960,1250,D,6667.00,6689.00
Zagros.Kosar.Power,20191210,6911.00,6940.00,6503.00,6667.00,58646271106,8796471,1766,D,6845.00,6570.00
Zagros.Kosar.Power,20191209,6750.00,7082.00,6652.00,6845.00,40684486747,5943584,1361,D,6532.00,6860.00
Zagros.Kosar.Power,20191208,6177.00,6616.00,6177.00,6532.00,58735479869,8992084,1706,D,6301.00,6616.00
Zagros.Kosar.Power,20191207,6250.00,6352.00,6250.00,6301.00,43033865428,6830122,1281,D,6211.00,6349.00
Zagros.Kosar.Power,20191204,6100.00,6340.00,6020.00,6211.00,19851355156,3196411,864,D,6104.00,6240.00
Zagros.Kosar.Power,20191203,6003.00,6140.00,6003.00,6104.00,16940946384,2775261,658,D,6165.00,6112.00
Zagros.Kosar.Power,20191202,6210.00,6299.00,6030.00,6165.00,35308343530,5727134,1261,D,6252.00,6050.00
Zagros.Kosar.Power,20191201,6300.00,6350.00,6167.00,6252.00,24970092814,3993756,1105,D,6239.00,6200.00
Zagros.Kosar.Power,20191130,6250.00,6390.00,6101.00,6239.00,30781755434,4933734,1311,D,6263.00,6294.00
Zagros.Kosar.Power,20191127,6420.00,6443.00,6161.00,6263.00,28651387435,4574759,1275,D,6261.00,6241.00
Zagros.Kosar.Power,20191126,6281.00,6323.00,6030.00,6261.00,66415965833,10608321,1823,D,6022.00,6323.00
Zagros.Kosar.Power,20191125,5930.00,6098.00,5916.00,6022.00,17798053178,2955333,930,D,5935.00,6028.00
Zagros.Kosar.Power,20191124,5858.00,6043.00,5820.00,5935.00,19875061683,3348926,794,D,5928.00,5913.00
Zagros.Kosar.Power,20191123,6086.00,6099.00,5800.00,5928.00,23266700803,3924659,832,D,6000.00,5879.00
Zagros.Kosar.Power,20191120,6000.00,6054.00,5900.00,6000.00,16131992141,2688753,722,D,5839.00,5965.00
Zagros.Kosar.Power,20191119,5680.00,5922.00,5680.00,5839.00,20907643107,3580634,640,D,5640.00,5922.00
